file_name,humor_style,emotion
p36_orig_neutral_or487,Neutral,superiority
p07_orig_neutral_or588,Neutral,superiority
p46_orig_neutral_or835,Neutral,embarrassment
p42_orig_neutral_or578,Neutral,embarrassment
p36_orig_neutral_or408,Neutral,embarrassment
p08_orig_neutral_or1439,Neutral,embarrassment
p38_orig_neutral_or615,Neutral,embarrassment
p24_orig_neutral_or1224,Neutral,embarrassment
p38_orig_neutral_or836,Neutral,embarrassment
p43_orig_neutral_or636,Neutral,embarrassment
p29_orig_neutral_or559,Neutral,embarrassment
p12_orig_neutral_or991,Neutral,embarrassment
p15_orig_neutral_or1047,Neutral,embarrassment
p08_orig_neutral_or1435,Neutral,embarrassment
p38_orig_neutral_or580,Neutral,embarrassment
p26_orig_neutral_or39,Neutral,embarrassment
p48_orig_neutral_or127,Neutral,embarrassment
p16_orig_neutral_or651,Neutral,embarrassment
p40_orig_neutral_or565,Neutral,embarrassment
p44_orig_neutral_or495,Neutral,neutral
p09_orig_neutral_or1457,Neutral,neutral
p49_orig_neutral_or419,Neutral,neutral
p01_orig_neutral_or940,Neutral,neutral
p32_orig_neutral_or918,Neutral,neutral
p03_orig_neutral_or1234,Neutral,neutral
p13_orig_neutral_or1007,Neutral,neutral
p31_orig_neutral_or192,Neutral,neutral
p05_orig_neutral_or1370,Neutral,neutral
p43_orig_neutral_or45,Neutral,neutral
p19_orig_neutral_or1115,Neutral,neutral
p19_orig_neutral_or1112,Neutral,neutral
p01_orig_neutral_or935,Neutral,neutral
p25_orig_neutral_or601,Neutral,neutral
p39_orig_neutral_or137,Neutral,neutral
p26_orig_neutral_or848,Neutral,neutral
p31_orig_neutral_or21,Neutral,neutral
p43_orig_neutral_or2,Neutral,neutral
p36_orig_neutral_or471,Neutral,neutral
p41_orig_neutral_or864,Neutral,neutral
p15_orig_neutral_or1052,Neutral,neutral
p30_orig_neutral_or1258,Neutral,neutral
p41_orig_neutral_or128,Neutral,neutral
p09_orig_neutral_or1462,Neutral,neutral
p33_orig_neutral_or1286,Neutral,neutral
p02_orig_neutral_or1142,Neutral,neutral
p33_orig_neutral_or1281,Neutral,neutral
p24_orig_neutral_or1209,Neutral,neutral
p20_orig_neutral_or1157,Neutral,neutral
p41_orig_neutral_or193,Neutral,neutral
p20_orig_neutral_or1,Neutral,neutral
p37_orig_neutral_or190,Neutral,neutral
p25_orig_neutral_or154,Neutral,neutral
p05_orig_neutral_or1385,Neutral,neutral
p39_orig_neutral_or418,Neutral,neutral
p38_orig_neutral_or10,Neutral,neutral
p36_orig_neutral_or829,Neutral,neutral
p08_orig_neutral_or791,Neutral,neutral
p34_orig_neutral_or1316,Neutral,neutral
p16_orig_neutral_or1068,Neutral,neutral
p43_orig_neutral_or1365,Neutral,neutral
p25_orig_neutral_or509,Neutral,neutral
p17_orig_neutral_or1087,Neutral,neutral
p41_orig_neutral_or410,Neutral,neutral
p17_orig_neutral_or1073,Neutral,neutral
p39_orig_neutral_or649,Neutral,neutral
p33_orig_neutral_or1291,Neutral,neutral
p40_orig_neutral_or691,Neutral,neutral
p19_orig_neutral_or1121,Neutral,neutral
p19_orig_neutral_or1126,Neutral,neutral
p33_orig_neutral_or1298,Neutral,neutral
p05_orig_neutral_or1376,Neutral,neutral
p28_orig_neutral_or531,Neutral,neutral
p03_orig_neutral_or1240,Neutral,neutral
p41_orig_neutral_or859,Neutral,neutral
p03_orig_neutral_or1247,Neutral,neutral
p30_orig_neutral_or1265,Neutral,neutral
p01_orig_neutral_or933,Neutral,neutral
p11_orig_neutral_or976,Neutral,neutral
p39_orig_neutral_or517,Neutral,neutral
p14_orig_neutral_or1024,Neutral,neutral
p35_orig_neutral_or1338,Neutral,neutral
p05_orig_neutral_or1369,Neutral,neutral
p17_orig_neutral_or1086,Neutral,neutral
p38_orig_neutral_or64,Neutral,neutral
p04_orig_neutral_or1357,Neutral,neutral
p34_orig_neutral_or1317,Neutral,neutral
p06_orig_neutral_or1406,Neutral,neutral
p39_orig_neutral_or850,Neutral,neutral
p31_orig_neutral_or78,Neutral,neutral
p34_orig_neutral_or1319,Neutral,neutral
p16_orig_neutral_or1067,Neutral,neutral
p11_orig_neutral_or967,Neutral,neutral
p30_orig_neutral_or1274,Neutral,neutral
p35_orig_neutral_or1327,Neutral,neutral
p30_orig_neutral_or1273,Neutral,neutral
p45_orig_neutral_or20,Neutral,neutral
p17_orig_neutral_or1088,Neutral,neutral
p30_orig_neutral_or142,Neutral,neutral
p05_orig_neutral_or1383,Neutral,neutral
p47_orig_neutral_or903,Neutral,neutral
p22_orig_neutral_or1178,Neutral,neutral
p06_orig_neutral_or1394,Neutral,neutral
p06_orig_neutral_or1393,Neutral,neutral
p49_orig_neutral_or84,Neutral,neutral
p02_orig_neutral_or1138,Neutral,neutral
p30_orig_neutral_or491,Neutral,neutral
p41_orig_neutral_or74,Neutral,neutral
p06_orig_neutral_or1402,Neutral,neutral
p50_orig_neutral_or816,Neutral,neutral
p34_orig_neutral_or1313,Neutral,neutral
p31_orig_neutral_or860,Neutral,neutral
p25_orig_neutral_or79,Neutral,neutral
p43_orig_neutral_or867,Neutral,neutral
p26_orig_neutral_or429,Neutral,neutral
p11_orig_neutral_or980,Neutral,neutral
p15_orig_neutral_or1048,Neutral,neutral
p05_orig_neutral_or1380,Neutral,neutral
p20_orig_neutral_or1152,Neutral,neutral
p04_orig_neutral_or486,Neutral,neutral
p08_orig_neutral_or1433,Neutral,neutral
p33_orig_neutral_or1283,Neutral,neutral
p31_orig_neutral_or389,Neutral,neutral
p06_orig_neutral_or1397,Neutral,neutral
p07_orig_neutral_or1418,Neutral,neutral
p48_orig_neutral_or782,Neutral,neutral
p15_orig_neutral_or69,Neutral,neutral
p08_orig_neutral_or1425,Neutral,neutral
p17_orig_neutral_or1070,Neutral,neutral
p13_orig_neutral_or1005,Neutral,neutral
p29_orig_neutral_or371,Neutral,neutral
p24_orig_neutral_or421,Neutral,neutral
p50_orig_neutral_or524,Neutral,neutral
p03_orig_neutral_or1238,Neutral,neutral
p24_orig_neutral_or1221,Neutral,neutral
p35_orig_neutral_or1335,Neutral,neutral
p38_orig_neutral_or660,Neutral,neutral
p11_orig_neutral_or972,Neutral,neutral
p31_orig_neutral_or527,Neutral,neutral
p03_orig_neutral_or1243,Neutral,neutral
p29_orig_neutral_or558,Neutral,neutral
p01_orig_neutral_or945,Neutral,neutral
p50_orig_neutral_or807,Neutral,neutral
p41_orig_neutral_or53,Neutral,neutral
p41_orig_neutral_or579,Neutral,neutral
p21_orig_neutral_or394,Neutral,neutral
p49_orig_neutral_or914,Neutral,neutral
p26_orig_neutral_or854,Neutral,neutral
p10_orig_neutral_or948,Neutral,neutral
p20_orig_neutral_or1154,Neutral,neutral
p16_orig_neutral_or1059,Neutral,neutral
p47_orig_neutral_or488,Neutral,neutral
p47_orig_neutral_or901,Neutral,neutral
p11_orig_neutral_or981,Neutral,neutral
p42_orig_neutral_or479,Neutral,neutral
p26_orig_neutral_or51,Neutral,neutral
p44_orig_neutral_or489,Neutral,neutral
p20_orig_neutral_or1168,Neutral,neutral
p45_orig_neutral_or81,Neutral,neutral
p14_orig_neutral_or1037,Neutral,neutral
p34_orig_neutral_or1312,Neutral,neutral
p14_orig_neutral_or1030,Neutral,neutral
p34_orig_neutral_or1304,Neutral,neutral
p48_orig_neutral_or47,Neutral,neutral
p22_orig_neutral_or1186,Neutral,neutral
p29_orig_neutral_or550,Neutral,neutral
p19_orig_neutral_or1118,Neutral,neutral
p34_orig_neutral_or1303,Neutral,neutral
p49_orig_neutral_or882,Neutral,neutral
p17_orig_neutral_or1078,Neutral,neutral
p19_orig_neutral_or1123,Neutral,neutral
p10_orig_neutral_or957,Neutral,neutral
p29_orig_neutral_or171,Neutral,neutral
p44_orig_neutral_or194,Neutral,neutral
p50_orig_neutral_or600,Neutral,neutral
p12_orig_neutral_or1001,Neutral,neutral
p31_orig_neutral_or100,Neutral,neutral
p26_orig_neutral_or430,Neutral,neutral
p30_orig_neutral_or428,Neutral,neutral
p04_orig_neutral_or182,Neutral,joy
p46_orig_neutral_or1367,Neutral,joy
p32_orig_neutral_or110,Neutral,joy
p20_orig_neutral_or916,Neutral,joy
p45_orig_neutral_or875,Neutral,joy
p37_orig_neutral_or648,Neutral,joy
p23_orig_neutral_or1198,Neutral,joy
p21_orig_neutral_or589,Neutral,joy
p32_orig_neutral_or1278,Neutral,joy
p23_orig_neutral_or1189,Neutral,joy
p18_orig_neutral_or1097,Neutral,joy
p42_orig_neutral_or537,Neutral,joy
p07_orig_neutral_or1421,Neutral,joy
p04_orig_neutral_or1349,Neutral,joy
p22_orig_neutral_or1185,Neutral,joy
p23_orig_neutral_or1206,Neutral,joy
p13_orig_neutral_or1009,Neutral,joy
p47_orig_neutral_or734,Neutral,joy
p13_orig_neutral_or1019,Neutral,joy
p12_orig_neutral_or986,Neutral,joy
p36_orig_neutral_or399,Neutral,joy
p10_orig_neutral_or955,Neutral,joy
p10_orig_neutral_or952,Neutral,joy
p09_orig_neutral_or1460,Neutral,joy
p36_orig_neutral_or4,Neutral,joy
p42_orig_neutral_or496,Neutral,joy
p02_orig_neutral_or1135,Neutral,joy
p14_orig_neutral_or1036,Neutral,joy
p36_orig_neutral_or645,Neutral,joy
p42_orig_neutral_or112,Neutral,joy
p44_orig_neutral_or372,Neutral,joy
p25_orig_neutral_or139,Neutral,joy
p31_orig_neutral_or138,Neutral,joy
p10_orig_neutral_or27,Neutral,joy
p46_orig_neutral_or414,Neutral,joy
p04_orig_neutral_or1344,Neutral,joy
p14_orig_neutral_or1039,Neutral,joy
p13_orig_neutral_or1012,Neutral,joy
p45_orig_neutral_or31,Neutral,joy
p02_orig_neutral_or1146,Neutral,joy
p21_orig_aggr_or18,Aggressive,neutral
p14_orig_aggr_or1026,Aggressive,neutral
p40_orig_aggr_or662,Aggressive,neutral
p02_orig_aggr_or1143,Aggressive,neutral
p16_orig_aggr_or178,Aggressive,neutral
p45_orig_aggr_or444,Aggressive,neutral
p24_orig_aggr_or1218,Aggressive,neutral
p09_orig_aggr_or1446,Aggressive,neutral
p01_orig_aggr_or934,Aggressive,neutral
p39_orig_aggr_or516,Aggressive,neutral
p05_orig_aggr_or236,Aggressive,neutral
p01_orig_aggr_or946,Aggressive,neutral
p24_orig_aggr_or1208,Aggressive,neutral
p42_orig_aggr_or175,Aggressive,neutral
p33_orig_aggr_or1299,Aggressive,neutral
p07_orig_aggr_or876,Aggressive,neutral
p05_orig_aggr_or785,Aggressive,neutral
p05_orig_aggr_or1381,Aggressive,neutral
p42_orig_aggr_or345,Aggressive,neutral
p49_orig_aggr_or629,Aggressive,neutral
p45_orig_aggr_or42,Aggressive,neutral
p21_orig_aggr_or750,Aggressive,neutral
p07_orig_aggr_or1411,Aggressive,neutral
p09_orig_aggr_or1455,Aggressive,neutral
p13_orig_aggr_or1011,Aggressive,neutral
p37_orig_aggr_or861,Aggressive,neutral
p06_orig_aggr_or218,Aggressive,neutral
p12_orig_aggr_or995,Aggressive,neutral
p18_orig_aggr_or1091,Aggressive,neutral
p37_orig_aggr_or93,Aggressive,neutral
p25_orig_aggr_or821,Aggressive,empathy
p45_orig_aggr_or752,Aggressive,empathy
p13_orig_aggr_or1020,Aggressive,empathy
p44_orig_aggr_or679,Aggressive,empathy
p18_orig_aggr_or1093,Aggressive,empathy
p28_orig_aggr_or11,Aggressive,joy
p20_orig_aggr_or331,Aggressive,joy
p24_orig_aggr_or647,Aggressive,joy
p39_orig_aggr_or858,Aggressive,joy
p22_orig_aggr_or1184,Aggressive,joy
p29_orig_aggr_or155,Aggressive,joy
p02_orig_aggr_or1134,Aggressive,joy
p26_orig_aggr_or186,Aggressive,joy
p29_orig_aggr_or94,Aggressive,joy
p26_orig_aggr_or24,Aggressive,joy
p19_orig_aggr_or274,Aggressive,joy
p47_orig_aggr_or184,Aggressive,joy
p07_orig_aggr_or1420,Aggressive,joy
p50_orig_aggr_or24,Aggressive,joy
p04_orig_aggr_or1352,Aggressive,joy
p01_orig_aggr_or938,Aggressive,joy
p25_orig_aggr_or725,Aggressive,joy
p25_orig_aggr_or23,Aggressive,joy
p16_orig_aggr_or325,Aggressive,joy
p02_orig_aggr_or905,Aggressive,joy
p09_orig_aggr_or1459,Aggressive,joy
p15_orig_aggr_or1044,Aggressive,joy
p05_orig_aggr_or1384,Aggressive,joy
p30_orig_aggr_or1256,Aggressive,superiority
p32_orig_aggr_or50,Aggressive,superiority
p38_orig_aggr_or722,Aggressive,superiority
p10_orig_aggr_or909,Aggressive,superiority
p37_orig_aggr_or72,Aggressive,superiority
p40_orig_aggr_or543,Aggressive,superiority
p21_orig_aggr_or305,Aggressive,superiority
p07_orig_aggr_or735,Aggressive,superiority
p12_orig_aggr_or13,Aggressive,superiority
p37_orig_aggr_or727,Aggressive,superiority
p37_orig_aggr_or437,Aggressive,superiority
p26_orig_aggr_or465,Aggressive,superiority
p40_orig_aggr_or529,Aggressive,superiority
p10_orig_aggr_or964,Aggressive,superiority
p21_orig_aggr_or747,Aggressive,superiority
p31_orig_aggr_or185,Aggressive,superiority
p50_orig_aggr_or259,Aggressive,superiority
p49_orig_aggr_or736,Aggressive,superiority
p30_orig_aggr_or1262,Aggressive,superiority
p44_orig_aggr_or318,Aggressive,superiority
p49_orig_aggr_or667,Aggressive,superiority
p39_orig_aggr_or251,Aggressive,superiority
p49_orig_aggr_or297,Aggressive,superiority
p30_orig_aggr_or1250,Aggressive,superiority
p38_orig_aggr_or663,Aggressive,superiority
p33_orig_aggr_or1285,Aggressive,superiority
p16_orig_aggr_or754,Aggressive,superiority
p41_orig_aggr_or608,Aggressive,superiority
p29_orig_aggr_or744,Aggressive,superiority
p35_orig_aggr_or1328,Aggressive,superiority
p49_orig_aggr_or913,Aggressive,superiority
p27_orig_aggr_or684,Aggressive,superiority
p36_orig_aggr_or732,Aggressive,superiority
p22_orig_aggr_or1176,Aggressive,superiority
p44_orig_aggr_or212,Aggressive,superiority
p19_orig_aggr_or631,Aggressive,superiority
p46_orig_aggr_or263,Aggressive,superiority
p49_orig_aggr_or724,Aggressive,superiority
p34_orig_aggr_or1318,Aggressive,superiority
p07_orig_aggr_or677,Aggressive,superiority
p01_orig_aggr_or393,Aggressive,superiority
p09_orig_aggr_or536,Aggressive,superiority
p34_orig_aggr_or1309,Aggressive,superiority
p06_orig_aggr_or1405,Aggressive,superiority
p12_orig_aggr_or997,Aggressive,superiority
p40_orig_aggr_or656,Aggressive,superiority
p13_orig_aggr_or1014,Aggressive,superiority
p33_orig_aggr_or1297,Aggressive,superiority
p02_orig_aggr_or650,Aggressive,superiority
p30_orig_aggr_or1253,Aggressive,superiority
p40_orig_aggr_or857,Aggressive,superiority
p32_orig_aggr_or388,Aggressive,superiority
p36_orig_aggr_or730,Aggressive,superiority
p12_orig_aggr_or1002,Aggressive,superiority
p39_orig_aggr_or689,Aggressive,superiority
p03_orig_aggr_or637,Aggressive,superiority
p06_orig_aggr_or1396,Aggressive,superiority
p06_orig_aggr_or1391,Aggressive,superiority
p18_orig_aggr_or1104,Aggressive,superiority
p36_orig_aggr_or108,Aggressive,superiority
p30_orig_aggr_or213,Aggressive,anger
p31_orig_aggr_or211,Aggressive,anger
p25_orig_aggr_or555,Aggressive,anger
p23_orig_aggr_or635,Aggressive,anger
p46_orig_aggr_or17,Aggressive,anger
p34_orig_aggr_or303,Aggressive,anger
p18_orig_aggr_or533,Aggressive,anger
p31_orig_aggr_or478,Aggressive,anger
p45_orig_aggr_or165,Aggressive,anger
p19_orig_aggr_or296,Aggressive,anger
p14_orig_aggr_or322,Aggressive,anger
p23_orig_aggr_or441,Aggressive,anger
p11_orig_aggr_or740,Aggressive,anger
p31_orig_aggr_or134,Aggressive,anger
p04_orig_aggr_or235,Aggressive,anger
p29_orig_aggr_or699,Aggressive,anger
p24_orig_aggr_or888,Aggressive,anger
p38_orig_aggr_or571,Aggressive,anger
p48_orig_aggr_or196,Aggressive,anger
p15_orig_aggr_or343,Aggressive,anger
p31_orig_aggr_or653,Aggressive,anger
p36_orig_aggr_or34,Aggressive,anger
p35_orig_aggr_or1332,Aggressive,anger
p44_orig_aggr_or607,Aggressive,anger
p04_orig_aggr_or73,Aggressive,anger
p41_orig_aggr_or348,Aggressive,anger
p08_orig_aggr_or697,Aggressive,anger
p25_orig_aggr_or626,Aggressive,anger
p31_orig_aggr_or668,Aggressive,anger
p25_orig_aggr_or682,Aggressive,anger
p16_orig_aggr_or1064,Aggressive,anger
p11_orig_aggr_or302,Aggressive,anger
p43_orig_aggr_or856,Aggressive,anger
p14_orig_aggr_or323,Aggressive,anger
p26_orig_aggr_or726,Aggressive,anger
p49_orig_aggr_or237,Aggressive,anger
p43_orig_aggr_or741,Aggressive,anger
p30_orig_aggr_or1270,Aggressive,anger
p10_orig_aggr_or248,Aggressive,anger
p12_orig_aggr_or988,Aggressive,anger
p33_orig_aggr_or1290,Aggressive,anger
p41_orig_aggr_or309,Aggressive,anger
p46_orig_aggr_or404,Aggressive,anger
p23_orig_aggr_or1200,Aggressive,anger
p42_orig_aggr_or26,Aggressive,anger
p46_orig_aggr_or32,Aggressive,anger
p10_orig_aggr_or961,Aggressive,anger
p21_orig_aggr_or61,Aggressive,anger
p01_orig_aggr_or401,Aggressive,anger
p41_orig_aggr_or264,Aggressive,anger
p44_orig_aggr_or336,Aggressive,anger
p46_orig_aggr_or130,Aggressive,anger
p08_orig_aggr_or250,Aggressive,anger
p33_orig_aggr_or1293,Aggressive,anger
p16_orig_aggr_or1061,Aggressive,anger
p06_orig_aggr_or513,Aggressive,anger
p02_orig_aggr_or1148,Aggressive,anger
p10_orig_aggr_or950,Aggressive,anger
p31_orig_aggr_or749,Aggressive,anger
p48_orig_aggr_or304,Aggressive,anger
p03_orig_aggr_or718,Aggressive,anger
p29_orig_aggr_or530,Aggressive,anger
p04_orig_aggr_or1351,Aggressive,anger
p24_orig_aggr_or1214,Aggressive,anger
p26_orig_aggr_or99,Aggressive,anger
p29_orig_aggr_or620,Aggressive,anger
p49_orig_aggr_or374,Aggressive,anger
p19_orig_aggr_or28,Aggressive,anger
p41_orig_aggr_or748,Aggressive,anger
p38_orig_aggr_or337,Aggressive,anger
p23_orig_aggr_or1194,Aggressive,anger
p17_orig_aggr_or1071,Aggressive,anger
p11_orig_aggr_or971,Aggressive,anger
p49_orig_aggr_or738,Aggressive,anger
p19_orig_aggr_or1111,Aggressive,anger
p31_orig_aggr_or1275,Aggressive,anger
p02_orig_aggr_or1150,Aggressive,anger
p46_orig_aggr_or446,Aggressive,anger
p34_orig_aggr_or1302,Aggressive,anger
p11_orig_aggr_or966,Aggressive,anger
p35_orig_aggr_or1336,Aggressive,anger
p23_orig_aggr_or453,Aggressive,anger
p32_orig_aggr_or1277,Aggressive,anger
p23_orig_aggr_or1205,Aggressive,anger
p36_orig_aggr_or166,Aggressive,anger
p25_orig_aggr_or315,Aggressive,anger
p41_orig_aggr_or293,Aggressive,anger
p09_orig_aggr_or1461,Aggressive,anger
p21_orig_aggr_or696,Aggressive,anger
p19_orig_aggr_or1119,Aggressive,anger
p07_orig_aggr_or1410,Aggressive,anger
p49_orig_aggr_or316,Aggressive,anger
p03_orig_aggr_or30,Aggressive,anger
p05_orig_aggr_or1372,Aggressive,anger
p45_orig_aggr_or610,Aggressive,anger
p39_orig_aggr_or493,Aggressive,anger
p20_orig_aggr_or1158,Aggressive,anger
p19_orig_aggr_or1125,Aggressive,anger
p01_orig_aggr_or944,Aggressive,anger
p47_orig_aggr_or387,Aggressive,embarrassment
p14_orig_aggr_or1033,Aggressive,embarrassment
p43_orig_aggr_or310,Aggressive,embarrassment
p21_orig_aggr_or632,Aggressive,embarrassment
p31_orig_aggr_or563,Aggressive,embarrassment
p39_orig_aggr_or638,Aggressive,embarrassment
p02_orig_aggr_or731,Aggressive,embarrassment
p03_orig_aggr_or1232,Aggressive,embarrassment
p15_orig_aggr_or1051,Aggressive,embarrassment
p19_orig_aggr_or177,Aggressive,embarrassment
p29_orig_aggr_or628,Aggressive,embarrassment
p11_orig_aggr_or839,Aggressive,embarrassment
p47_orig_aggr_or831,Aggressive,embarrassment
p42_orig_aggr_or67,Aggressive,embarrassment
p08_orig_aggr_or743,Aggressive,embarrassment
p14_orig_aggr_or1023,Aggressive,embarrassment
p42_orig_aggr_or131,Aggressive,embarrassment
p20_orig_aggr_or1166,Aggressive,embarrassment
p15_orig_aggr_or1054,Aggressive,embarrassment
p20_orig_aggr_or1153,Aggressive,embarrassment
p28_orig_aggr_or737,Aggressive,embarrassment
p36_orig_aggr_or164,Aggressive,embarrassment
p36_orig_aggr_or720,Aggressive,embarrassment
p18_orig_aggr_or1105,Aggressive,embarrassment
p39_orig_aggr_or88,Aggressive,embarrassment
p22_orig_aggr_or1180,Aggressive,embarrassment
p17_orig_aggr_or1080,Aggressive,embarrassment
p03_orig_aggr_or1236,Aggressive,embarrassment
p48_orig_aggr_or783,Aggressive,embarrassment
p08_orig_aggr_or1424,Aggressive,embarrassment
p48_orig_aggr_or712,Aggressive,embarrassment
p42_orig_aggr_or1363,Aggressive,embarrassment
p03_orig_aggr_or1229,Aggressive,embarrassment
p35_orig_aggr_or837,Aggressive,embarrassment
p21_orig_affil_or461,Affiliative,anger
p21_orig_affil_or8,Affiliative,anger
p31_orig_affil_or398,Affiliative,anger
p26_orig_affil_or420,Affiliative,anger
p18_orig_affil_or1101,Affiliative,anger
p15_orig_affil_or457,Affiliative,anger
p12_orig_affil_or464,Affiliative,anger
p17_orig_affil_or1081,Affiliative,anger
p29_orig_affil_or163,Affiliative,anger
p08_orig_affil_or1434,Affiliative,anger
p14_orig_affil_or474,Affiliative,anger
p09_orig_affil_or500,Affiliative,joy
p08_orig_affil_or1436,Affiliative,joy
p26_orig_affil_or717,Affiliative,joy
p29_orig_affil_or445,Affiliative,joy
p39_orig_affil_or1340,Affiliative,joy
p49_orig_affil_or149,Affiliative,joy
p45_orig_affil_or794,Affiliative,joy
p05_orig_affil_or787,Affiliative,joy
p09_orig_affil_or15,Affiliative,joy
p23_orig_affil_or670,Affiliative,joy
p25_orig_affil_or820,Affiliative,joy
p04_orig_affil_or551,Affiliative,joy
p34_orig_affil_or1306,Affiliative,joy
p41_orig_affil_or183,Affiliative,joy
p10_orig_affil_or693,Affiliative,joy
p01_orig_affil_or929,Affiliative,joy
p50_orig_affil_or590,Affiliative,joy
p18_orig_affil_or923,Affiliative,joy
p33_orig_affil_or814,Affiliative,joy
p13_orig_affil_or633,Affiliative,joy
p30_orig_affil_or1255,Affiliative,joy
p20_orig_affil_or1161,Affiliative,joy
p34_orig_affil_or148,Affiliative,joy
p30_orig_affil_or1267,Affiliative,joy
p21_orig_affil_or917,Affiliative,joy
p36_orig_affil_or611,Affiliative,joy
p33_orig_affil_or804,Affiliative,joy
p14_orig_affil_or1032,Affiliative,joy
p39_orig_affil_or373,Affiliative,joy
p45_orig_affil_or299,Affiliative,joy
p44_orig_affil_or22,Affiliative,joy
p33_orig_affil_or1288,Affiliative,joy
p42_orig_affil_or567,Affiliative,joy
p23_orig_affil_or695,Affiliative,joy
p41_orig_affil_or424,Affiliative,joy
p47_orig_affil_or896,Affiliative,joy
p08_orig_affil_or1426,Affiliative,joy
p32_orig_affil_or627,Affiliative,joy
p22_orig_affil_or884,Affiliative,joy
p06_orig_affil_or1400,Affiliative,joy
p26_orig_affil_or687,Affiliative,joy
p30_orig_affil_or1261,Affiliative,joy
p13_orig_affil_or925,Affiliative,joy
p45_orig_affil_or262,Affiliative,joy
p41_orig_affil_or809,Affiliative,joy
p18_orig_affil_or41,Affiliative,joy
p28_orig_affil_or700,Affiliative,joy
p05_orig_affil_or621,Affiliative,joy
p31_orig_affil_or191,Affiliative,joy
p41_orig_affil_or728,Affiliative,joy
p38_orig_affil_or681,Affiliative,joy
p19_orig_affil_or98,Affiliative,joy
p17_orig_affil_or1075,Affiliative,joy
p06_orig_affil_or95,Affiliative,joy
p12_orig_affil_or71,Affiliative,joy
p10_orig_affil_or959,Affiliative,joy
p04_orig_affil_or1342,Affiliative,joy
p45_orig_affil_or618,Affiliative,joy
p29_orig_affil_or92,Affiliative,joy
p25_orig_affil_or624,Affiliative,joy
p49_orig_affil_or105,Affiliative,joy
p08_orig_affil_or157,Affiliative,joy
p49_orig_affil_or911,Affiliative,joy
p31_orig_affil_or180,Affiliative,joy
p40_orig_affil_or683,Affiliative,joy
p47_orig_affil_or895,Affiliative,joy
p03_orig_affil_or1237,Affiliative,joy
p04_orig_affil_or1355,Affiliative,joy
p13_orig_affil_or1015,Affiliative,joy
p05_orig_affil_or1368,Affiliative,joy
p46_orig_affil_or119,Affiliative,joy
p35_orig_affil_or716,Affiliative,joy
p13_orig_affil_or927,Affiliative,joy
p48_orig_affil_or91,Affiliative,joy
p43_orig_affil_or596,Affiliative,joy
p36_orig_affil_or19,Affiliative,joy
p43_orig_affil_or547,Affiliative,joy
p20_orig_affil_or375,Affiliative,joy
p33_orig_affil_or1292,Affiliative,joy
p44_orig_affil_or5,Affiliative,joy
p41_orig_affil_or603,Affiliative,joy
p46_orig_affil_or694,Affiliative,joy
p18_orig_affil_or1094,Affiliative,joy
p40_orig_affil_or595,Affiliative,joy
p15_orig_affil_or1043,Affiliative,joy
p45_orig_affil_or126,Affiliative,joy
p49_orig_affil_or910,Affiliative,joy
p22_orig_affil_or1169,Affiliative,joy
p19_orig_affil_or1120,Affiliative,joy
p02_orig_affil_or1139,Affiliative,joy
p07_orig_affil_or89,Affiliative,joy
p07_orig_affil_or1415,Affiliative,joy
p49_orig_affil_or473,Affiliative,joy
p31_orig_affil_or483,Affiliative,joy
